Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 20 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 9 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
237	172377	1208354	0	head_turned	0.00	0
238	172725	1208687	0	head_stop	0.00	0
239	173579	1209507	0	ShowTarget	0.00	1
240	175475	1211327	0	MoveTarget	0.00	1
241	175489	1211340	0	ShowTarget	0.00	1
242	175968	1211800	0	head_turned	0.00	0
243	176315	1212134	0	head_stop	0.00	0
244	177329	1213107	0	ShowTarget	0.00	1
245	179878	1215554	0	MoveTarget	0.00	1
246	179891	1215567	0	ShowTarget	0.00	1
247	180218	1215880	0	head_turned	0.00	0
248	180572	1216220	0	head_stop	0.00	0
249	181766	1217367	0	ShowTarget	0.00	1
250	184496	1219987	0	MoveTarget	0.00	1
251	184510	1220000	0	ShowTarget	0.00	1
252	184829	1220307	0	head_turned	0.00	0
253	185184	1220647	0	head_stop	0.00	0
254	186315	1221733	0	ShowTarget	0.00	1
255	189072	1224380	0	MoveTarget	0.00	1
256	189093	1224400	0	ShowTarget	0.00	1
257	189371	1224667	0	head_turned	0.00	0
258	189691	1224974	0	head_stop	0.00	0
259	190490	1225740	0	ShowTarget	0.00	1
260	193934	1229047	0	MoveTarget	0.00	1
261	193948	1229060	0	ShowTarget	0.00	1
262	194226	1229327	0	head_turned	0.00	0
263	194580	1229667	0	head_stop	0.00	0
264	195344	1230400	0	ShowTarget	0.00	1
265	197428	1232400	0	MoveTarget	0.00	1
266	197448	1232420	0	ShowTarget	0.00	1
267	197746	1232707	0	head_turned	0.00	0
268	198400	1233334	0	head_stop	0.00	0
269	198866	1233781	0	ShowTarget	0.00	1
270	201421	1236234	0	MoveTarget	0.00	1
271	201434	1236247	0	ShowTarget	0.00	1
272	202177	1236960	0	head_turned	0.00	0
273	202768	1237527	0	head_stop	0.00	0
274	203331	1238067	0	ShowTarget	0.00	1
275	205629	1240274	0	MoveTarget	0.00	1
276	205643	1240287	0	ShowTarget	0.00	1
277	205907	1240540	0	head_turned	0.00	0
278	206212	1240833	0	head_stop	0.00	0
279	207240	1241820	0	ShowTarget	0.00	1
280	209310	1243807	0	MoveTarget	0.00	1
281	209324	1243820	0	ShowTarget	0.00	1
282	209622	1244107	0	head_turned	0.00	0
283	210032	1244500	0	head_stop	0.00	0
284	211062	1245488	0	ShowTarget	0.00	1
285	213602	1247927	0	MoveTarget	0.00	1
286	213616	1247940	0	ShowTarget	0.00	1
287	213894	1248206	0	head_turned	0.00	0
288	214227	1248527	0	head_stop	0.00	0
289	215193	1249454	0	ShowTarget	0.00	1
290	217213	1251393	0	MoveTarget	0.00	1
291	217234	1251413	0	ShowTarget	0.00	1
292	217567	1251733	0	head_turned	0.00	0
293	218116	1252260	0	head_stop	0.00	0
294	218756	1252874	0	ShowTarget	0.00	1
295	221290	1255306	0	MoveTarget	0.00	1
296	221304	1255320	0	ShowTarget	0.00	1
297	221616	1255620	0	head_turned	0.00	0
298	222186	1256166	0	head_stop	0.00	0
299	222915	1256867	0	ShowTarget	0.00	1
300	225103	1258967	0	MoveTarget	0.00	1
301	225116	1258980	0	ShowTarget	0.00	1
302	225387	1259240	0	head_turned	0.00	0
303	225859	1259693	0	head_stop	0.00	0
304	226714	1260513	0	ShowTarget	0.00	1
305	229200	1262900	0	MoveTarget	0.00	1
306	229221	1262920	0	ShowTarget	0.00	1
307	229443	1263133	0	head_turned	0.00	0
308	229728	1263406	0	head_stop	0.00	0
309	230770	1264407	0	ShowTarget	0.00	1
310	233207	1266746	0	MoveTarget	0.00	1
311	233228	1266767	0	ShowTarget	0.00	1
312	233457	1266987	0	head_turned	0.00	0
313	233790	1267306	0	head_stop	0.00	0
314	234929	1268400	0	ShowTarget	0.00	1
315	237499	1270866	0	MoveTarget	0.00	1
316	237513	1270880	0	ShowTarget	0.00	1
317	237701	1271060	0	head_turned	0.00	0
318	238034	1271379	0	head_stop	0.00	0
319	239089	1272393	0	ShowTarget	0.00	1
